instance,source,scenario_index,depot_internal,truck_walk_eval_preferred,truck_assigned_demands,drone_sequence_spt,drone_assigned_demands,drone_arrival_time
Instance5,table3_paper_exact_repaired,5,19,"[19, 10, 2, 12, 0, 1, 0, 12, 2, 19]",,"[14, 7, 13, 3]",,
Instance5,table3_paper_exact_repaired,6,17,"[17, 5, 6, 4, 6, 11, 1, 11, 6, 17]",,"[9, 8]",,
Instance5,table3_paper_exact_repaired,6,19,"[19, 10, 2, 12, 2, 10, 14, 13, 3, 13, 14, 19]",,"[7, 0]",,
Instance5,table3_paper_exact_repaired,7,17,"[17, 5, 6, 4, 6, 11, 8, 11, 6, 17]",,"[9, 1]",,
Instance5,table3_paper_exact_repaired,7,19,"[19, 10, 2, 12, 7, 12, 0, 12, 2, 10, 19]",,"[14, 13, 3]",,
Instance5,table3_paper_exact_repaired,8,17,"[17, 5, 4, 6, 11, 8, 11, 6, 17]",,"[9, 1]",,
Instance5,table3_paper_exact_repaired,8,19,"[19, 10, 2, 12, 2, 10, 14, 13, 3, 13, 14, 19]",,"[7, 0]",,
Instance5,table3_paper_exact_repaired,9,17,"[17, 5, 6, 4, 6, 11, 1, 11, 6, 17]",,"[9, 8]",,
Instance5,table3_paper_exact_repaired,9,19,"[19, 10, 2, 12, 2, 10, 14, 13, 3, 13, 14, 19]",,"[7, 0]",,
Instance6,table3_existing,0,15,"[15, 3, 1, 12, 8, 4]",,"[14, 11]",,
Instance6,table3_existing,0,16,"[16, 7, 2, 0, 5, 6, 10, 9, 10, 6]",,[13],,
Instance6,table3_existing,1,15,"[15, 3]",,"[14, 1, 4, 11, 8, 12]",,
Instance6,table3_existing,1,16,"[16, 7, 2]",,"[0, 5, 6, 10, 9, 13]",,
Instance6,table3_existing,2,15,"[15, 1, 12, 8, 4]",,"[3, 14, 11]",,
Instance6,table3_existing,2,16,"[16, 7, 2, 5, 6, 10, 9, 10, 6]",,"[0, 13]",,
Instance6,table3_existing,3,15,"[15, 3, 1, 12, 8, 4]",,"[14, 11]",,
Instance6,table3_existing,3,16,"[16, 7, 2, 0, 5, 6, 10, 9, 10, 6]",,[13],,
Instance6,table3_existing,4,15,"[15, 3]",,"[14, 1, 4, 11, 8, 12]",,
Instance6,table3_existing,4,16,[16],,"[7, 2, 0, 5, 6, 10, 9, 13]",,
Instance6,table3_existing,5,15,"[15, 1, 12, 8, 4]",,"[3, 14, 11]",,
Instance6,table3_existing,5,16,"[16, 7, 2, 0, 5, 6, 13]",,"[10, 9]",,
Instance6,table3_existing,6,15,"[15, 3]",,"[14, 1, 4, 11, 8, 12]",,
Instance6,table3_existing,6,16,"[16, 7, 2]",,"[0, 5, 6, 10, 9, 13]",,
Instance6,table3_existing,7,15,"[15, 3]",,"[14, 1, 4, 11, 8, 12]",,
Instance6,table3_existing,7,16,"[16, 7, 2]",,"[0, 5, 6, 10, 9, 13]",,
Instance6,table3_existing,8,15,"[15, 3]",,"[14, 1, 4, 11, 8, 12]",,
